"","YEAR","name","DATA_VALUE","mean","sd","INDICATOR_NAME"
"66",2013,"North",1892.0525,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"67",2013,"South",1132.212,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"68",2014,"North",2070.508,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"69",2014,"South",1040.258,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"70",2015,"South",779.645,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"71",2017,"North",2058.938,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"72",2017,"South",1572.972,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"73",2018,"South",1885.759,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"74",2019,"North",2211.974,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"75",2019,"South",2012.758,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"76",2020,"South",1869.236,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"77",2021,"South",1297.578,1676.43584552846,637.729417555707,"shelf_water_volume_South"
"78",2022,"North",2034.662,2080.57271052632,282.564591081872,"shelf_water_volume_North"
"79",2022,"South",1076.739,1676.43584552846,637.729417555707,"shelf_water_volume_South"
