"","Region","year","mean","count","sd","se"
"1","North",1989,6.46607159851282,1196,3.06912089248841,0.0887459220067801
"2","North",1990,8.03073035417858,1196,2.86394609858023,0.0828131396577703
"3","North",1991,7.43186932540617,1196,2.4806393009372,0.0717295374277139
"4","North",1992,6.95984414819183,1196,2.87417397636707,0.0831088863800931
"5","North",1993,5.60356227929799,1196,2.4031431935075,0.0694886796229212
"6","North",1994,6.33401554312498,1196,3.17448999735047,0.0917927483422622
"7","North",1995,7.50786020289532,1196,2.99793460456813,0.0866875173440028
"8","North",1996,5.65069592732801,1196,2.89572796906445,0.0837321361711123
"9","North",1997,8.16297908997738,1196,2.3997400669776,0.0693902756785404
"10","North",1998,6.05656570637046,1196,1.18247022010845,0.034192009244706
"11","North",1999,8.22813232637955,1196,3.05498213726283,0.0883370893434616
"12","North",2000,7.63327463926869,1196,2.52891578348101,0.0731254879636085
"13","North",2001,6.99106858036345,1196,2.88047014226282,0.0832909447176755
"14","North",2002,8.59571283014901,1196,2.4528928655795,0.0709272285339042
"15","North",2003,5.68290793246914,1196,2.65692312810478,0.0768269159034722
"16","North",2004,5.03744316681958,1196,2.50205602884839,0.0723488181049589
"17","North",2005,5.56346246052886,1196,2.27548782626761,0.0657974293718979
"18","North",2006,8.39341918753574,1196,2.73260871117579,0.0790154210446992
"19","North",2007,7.50712298324027,1196,2.68297843002361,0.0775803244112998
"20","North",2008,7.25421319447602,1196,2.36983772529256,0.0685256271436797
"21","North",2009,8.47333379336044,1196,3.26628367170382,0.0944470309691917
"22","North",2010,6.46662903892243,1196,2.4919958975186,0.0720579218966808
"23","North",2011,6.22676736948771,1196,2.7133330136251,0.0784580498588177
"24","North",2012,10.4634268367631,1196,2.24980184108464,0.0650546999332193
"25","North",2013,7.39331855138291,1196,2.43839068829008,0.0705078872502795
"26","North",2014,7.0218069396675,1196,2.6044553429055,0.0753097707220751
"27","North",2015,7.8151669752178,1196,2.75383054501146,0.0796290662142428
"28","North",2016,8.44315318000333,1196,2.91882089534788,0.0843998853757375
"29","North",2017,7.90030105588188,1196,2.32515919577659,0.0672337141058108
"30","North",2018,7.19915983350642,1196,2.79750643796226,0.0808919872672633
"31","North",2019,7.34717158765431,1196,2.85420602264819,0.082531498090271
"32","North",2020,8.82972640370228,1180,2.54204766426195,0.0740018685482118
"33","North",2021,8.55589120678163,1180,3.09263523020918,0.0900300922720718
"34","North",2022,8.68311254577037,1180,2.98295746377918,0.0868372490503965
"35","North",2023,8.70044498762274,1180,3.08557005615937,0.0898244171037205
"36","South",1989,7.32921445796623,1836,2.3120375548146,0.0539583356921951
"37","South",1990,8.69411037975764,1836,2.23653662412943,0.0521962948661279
"38","South",1991,8.283171164389,1836,1.81480498841765,0.0423539213612654
"39","South",1992,8.758996791447,1836,2.77808626363902,0.064834981111425
"40","South",1993,6.38864091063115,1836,1.65661343721206,0.0386620467176872
"41","South",1994,6.48426511414064,1836,2.06100041724109,0.0480996306239354
"42","South",1995,8.10967475380493,1836,2.18103303602805,0.050900952049287
"43","South",1996,6.15646886693318,1836,2.21595583546246,0.0517159803913955
"44","South",1997,8.47265613382153,1836,2.17470554249033,0.0507532809962424
"45","South",1998,7.32532084780414,1836,1.29513211645252,0.0302257951475584
"46","South",1999,8.22833861754095,1836,2.27165672067505,0.0530159277284942
"47","South",2000,7.97342442974101,1836,1.94201877070599,0.0453228367904693
"48","South",2001,7.22009171406648,1836,2.04263601359912,0.0476710421460202
"49","South",2002,9.82215695609025,1836,1.95239748826257,0.0455650553153398
"50","South",2003,6.77205830341326,1836,1.76884989997485,0.0412814214428286
"51","South",2004,6.16393830673219,1836,1.61025909879806,0.0375802291028636
"52","South",2005,6.29013047466762,1836,1.83169903586784,0.0427481946643173
"53","South",2006,8.96950533502098,1836,2.1451074658625,0.0500625210424508
"54","South",2007,8.01745397160867,1836,1.94800128785355,0.0454624567840373
"55","South",2008,9.26448755826326,1836,2.32267200227208,0.054206522441851
"56","South",2009,7.59432203502128,1836,2.38979724004817,0.055773091335076
"57","South",2010,6.38480107690938,1836,1.88940634081105,0.0440949678278992
"58","South",2011,7.26345598149914,1836,2.21192801757951,0.0516219791720024
"59","South",2012,10.0027212764786,1836,1.52801576507105,0.0356608340651635
"60","South",2013,8.0024696401057,1836,2.20766449827155,0.0515224771524224
"61","South",2014,7.74153806872421,1836,2.17489249667318,0.0507576441332234
"62","South",2015,6.79356817868619,1836,2.34408185330659,0.054706185575278
"63","South",2016,9.31755970225893,1836,2.20545897928396,0.0514710047472013
"64","South",2017,8.59380158372619,1836,1.71292014556102,0.039976132755991
"65","South",2018,7.74798667779014,1836,2.07841872520813,0.0485061391196638
"66","South",2019,7.45028113510897,1836,2.50004826962283,0.0583461300176924
"67","South",2020,9.15390152754099,1852,1.99623695712099,0.0463864995172071
"68","South",2021,8.34266841449425,1852,2.7269162112688,0.0633652718762978
"69","South",2022,9.33067575605027,1852,3.13098179349312,0.0727545319377886
"70","South",2023,9.38580897452464,1852,2.19688831904314,0.051049029318455
"71","All",1989,6.97384083889751,3032,2.6833686135741,0.0487321685009564
"72","All",1990,8.42098321670931,3032,2.53449812036408,0.0460285585968858
"73","All",1991,7.93267273631793,3032,2.15517676970068,0.0391397726570673
"74","All",1992,8.01824874598958,3032,2.95341485826748,0.0536364291503794
"75","All",1993,6.06540793544665,3032,2.03465474336447,0.0369509940950083
"76","All",1994,6.42240428400046,3032,2.57885628658855,0.0468341391719544
"77","All",1995,7.86189535944095,3032,2.56589292599068,0.0465987139419661
