"","year","subarea","mean","sd"
"1",2021,"NMAB",8.35980791321642,3.57881332898361
"2",2022,"NMAB",7.98511952482002,3.03741996034392
"3",2023,"NMAB",8.25488266630265,2.82502258363141
"4",2021,"SMAB",8.30075234428225,2.74982279555108
"5",2022,"SMAB",8.62053905069811,3.03139493719275
"6",2023,"SMAB",9.01720462273027,2.31193849955245
