"year","mean","count","sd","se"
1959,6.75275732542617,2662,2.23558863959596,0.0433299181307567
1960,6.95528105320031,2662,2.51476215204758,0.0487408265709565
1961,6.31876788723484,2662,2.17750221314513,0.0422040937916789
1962,6.74924425245259,2662,2.36815086644197,0.0458992237421444
1963,6.64686411337388,2662,2.68158333188216,0.051974135211322
1964,6.99657642584068,2662,2.4259011719888,0.0470185334250843
1965,6.4750068051884,2662,2.57932328402805,0.0499921428970442
1966,5.79700842101667,2662,1.93695690882125,0.0375418727736945
1967,6.90615022608925,2662,2.41255697886625,0.0467598978311829
1968,5.8342943443823,2662,2.6432195463963,0.0512305727978948
1969,5.4563498933881,2662,1.98362718453847,0.0384464306114604
1970,7.08189307971024,2662,2.92412376120131,0.0566750255091437
1971,6.62155920263355,2662,2.21752032275694,0.042979720122264
1972,7.67278066943924,2662,2.30231883270015,0.0446232749464259
1973,6.91163102855747,2662,1.89906931489211,0.0368075398494505
1974,8.54620752163764,2662,1.98304507223887,0.0384351481787991
1975,8.28919625659755,2662,2.36873056781461,0.0459104594465006
1976,8.79022846881506,2662,2.85737469170534,0.0553813028334518
1977,5.59871439512101,2662,3.03770632080295,0.0588764694248323
1978,7.04245345609948,2662,3.50259150433237,0.0678868198022488
1979,6.52452141582019,2662,2.90819305189017,0.0563662583603084
1980,6.10866076746669,2662,2.54345495042894,0.0492969470408795
1981,5.64618643317713,2662,2.43407616439536,0.047176980173928
1982,6.26656484758578,2662,2.65623620352463,0.051482860127378
1983,7.95681457081807,2662,2.52599240881691,0.0489584900971454
1984,7.40159964963338,2662,2.53839744827319,0.0491989231242815
1985,7.04907284738465,2662,2.66755859555836,0.0517023094085098
1986,7.85706047600584,2662,2.79765828951324,0.0542238864947668
1987,6.67693124531828,2662,2.78406005537718,0.0539603271075868
1988,7.05931621120645,2662,2.81208970211746,0.054503594449789
1989,6.94662404022199,2662,2.67075829921715,0.0517643256914352
1990,8.4192580921753,2662,2.5342164167364,0.0491178868589408
1991,7.91908702465301,2662,2.15975849460811,0.0418601871095968
1992,8.00390177847352,2662,2.96671993172558,0.0575006195154875
1993,6.0236549425197,2662,2.025764278859,0.0392631268563951
1994,6.39026064556281,2662,2.56866530819136,0.0497855712531094
1995,7.83929963185563,2662,2.56328410032767,0.049681273310255
1996,5.92456559283073,2662,2.51553356653088,0.0487557780364515
1997,8.34221632775255,2662,2.27005086119401,0.043997860888203
1998,6.79049001126585,2662,1.39573198983124,0.027051914552042
1999,8.18629517080017,2662,2.6014221873774,0.050420461262931
2000,7.82494835921685,2662,2.20032573026021,0.0426464565370144
2001,7.1183404249055,2662,2.43202870533931,0.0471372965614318
2002,9.28644338297016,2662,2.24783588450816,0.0435672928024533
2003,6.30975727957753,2662,2.21898105994166,0.0430080319599176
2004,5.67387594795555,2662,2.06577312741046,0.040038573690189
2005,5.97490409029497,2662,2.0488439025379,0.039710453429264
2006,8.70744534956672,2662,2.41593335859719,0.0468253384291215
2007,7.76016312446487,2662,2.27267439619603,0.0440487099374588
2008,8.44401792324661,2662,2.545907682574,0.0493444856090936
2009,7.93422794509003,2662,2.79949280466605,0.0542594428533799
2010,6.37976256241325,2662,2.13048146587193,0.0412927431551133
2011,6.83489081642042,2662,2.47356713806608,0.0479423896172168
2012,10.1768192811328,2662,1.86328534761712,0.0361139791715348
2013,7.71116586400099,2662,2.30898476210858,0.0447524732123399
2014,7.41929453220678,2662,2.37953645364266,0.0461198978646276
2015,7.18994151372535,2662,2.56037966546356,0.0496249798926518
2016,8.94443464078538,2662,2.55985026553106,0.0496147191249383
2017,8.25544957891714,2662,1.99735842339034,0.0387125678805212
2018,7.49792744137339,2662,2.41690651122508,0.0468441999597933
2019,7.37486102188697,2662,2.6409788265878,0.0511871434280471
2020,9.07929448775254,2662,2.15058071822135,0.0416823045186686
2021,8.23643597255478,2662,2.52007970572426,0.0488438907757861
2022,8.52257121205367,2662,2.73399925028399,0.0529900544251136
