"","Year","Proportion","Stock","Month","Btemp"
"1",1989,78.4264612438083,"South",2,6.40476190476191
"2",1989,78.4264612438083,"South",3,8.13916666666667
"3",1990,97.0021576160769,"South",2,6.73130952380952
"4",1990,97.0021576160769,"South",3,9.07871621621622
"5",1991,95.842539005633,"South",2,6.11758620689655
"6",1991,95.842539005633,"South",3,9.22380434782609
"7",1992,87.2074489927999,"South",2,9.1064606741573
"8",1992,87.2074489927999,"South",3,9.16377049180328
"9",1993,83.1544444074287,"South",2,7.61507194244604
"10",1993,83.1544444074287,"South",3,6.86325153374233
"11",1994,89.7348455486723,"South",2,5.61940170940171
"12",1994,89.7348455486723,"South",3,6.84201257861635
"13",1995,89.7105340847104,"South",2,8.35277777777778
"14",1995,89.7105340847104,"South",3,8.08190476190476
"15",1996,83.7337508881788,"South",2,8.27086253369272
"16",1996,83.7337508881788,"South",3,7.14394957983193
"17",1997,92.341363883025,"South",2,7.54534482758621
"18",1997,92.341363883025,"South",3,9.36224880382775
"19",1998,85.2111354224884,"South",2,9.21476038338658
"20",1998,85.2111354224884,"South",3,8.348779342723
"21",1999,66.844783976201,"South",2,8.98554545454545
"22",1999,66.844783976201,"South",3,8.6566976744186
"23",2000,47.2910965841619,"South",2,8.26698162729659
"24",2000,47.2910965841619,"South",3,9.24508771929825
"25",2001,47.771026270916,"South",2,9.13391143911439
"26",2001,47.771026270916,"South",3,8.84457943925234
"27",2002,63.0487408802827,"South",2,10.14518
"28",2002,63.0487408802827,"South",3,9.33284810126582
"29",2003,45.1486744494159,"South",2,8.41598113207547
"30",2003,45.1486744494159,"South",3,6.77993197278912
"31",2004,25.6012165351832,"South",2,7.83627192982456
"32",2004,25.6012165351832,"South",3,7.03035335689046
"33",2005,11.2528795955258,"South",2,8.36869822485207
"34",2005,11.2528795955258,"South",3,7.56603305785124
"35",2006,34.3082355460152,"South",2,9.55422580645161
"36",2006,34.3082355460152,"South",3,8.79418604651163
"37",2007,65.0030287246725,"South",2,8.48145762711864
"38",2007,65.0030287246725,"South",3,7.33527638190955
"39",2008,38.1751549220792,"South",2,7.34514285714286
"40",2008,38.1751549220792,"South",3,8.95186274509804
"41",2009,75.1109667298942,"South",2,4.42704761904762
"42",2009,75.1109667298942,"South",3,7.64126637554585
"43",2010,48.4043302144629,"South",2,2.94175438596491
"44",2010,48.4043302144629,"South",3,8.18492021276596
"45",2011,60.257797893309,"South",2,3.73531468531469
"46",2011,60.257797893309,"South",3,9.4604979253112
"47",2012,69.554746660848,"South",2,8.79191082802548
"48",2012,69.554746660848,"South",3,10.099375
"49",2013,29.3457321160209,"South",2,5.7807619047619
"50",2013,29.3457321160209,"South",3,10.7490846681922
"51",2014,35.7881446999278,"South",2,3.54114285714286
"52",2014,35.7881446999278,"South",3,5.77045454545455
"53",2015,54.6975287315023,"South",2,2.7192380952381
"54",2015,54.6975287315023,"South",3,7.24617647058824
"55",2016,39.7130222243713,"South",2,5.29180952380952
"56",2016,39.7130222243713,"South",3,7.58515151515151
"57",2017,44.666304722891,"South",2,6.40593192592593
"58",2017,44.666304722891,"South",3,9.42343137254902
"59",2018,32.2016498973113,"South",3,8.31151079136691
"60",2019,55.3181486376872,"South",2,5.91295238095238
"61",2019,55.3181486376872,"South",3,8.36253968253968
"62",2020,38.8871851067319,"South",2,7.69123809523809
"63",2020,38.8871851067319,"South",3,11.3006325301205
"64",2021,70.973010622249,"South",2,4.30640350877193
"65",2021,70.973010622249,"South",3,8.60990147783251
"66",1989,21.5735387561917,"North",3,5.50454545454545
"67",1990,2.9978423839231,"North",3,6.75531914893617
"68",1991,4.15746099436699,"North",3,6.4980198019802
"69",1992,12.7925510072001,"North",2,6.29166666666667
"70",1992,12.7925510072001,"North",3,5.24363636363636
"71",1993,16.8455555925713,"North",2,6.3462962962963
"72",1993,16.8455555925713,"North",3,4.66851851851852
"73",1994,10.2651544513277,"North",2,6.47857142857143
"74",1994,10.2651544513277,"North",3,5.36607142857143
"75",1995,10.2894659152896,"North",2,7.41857142857143
"76",1995,10.2894659152896,"North",3,6.66851851851852
"77",1996,16.2662491118212,"North",2,8.42755102040816
"78",1996,16.2662491118212,"North",3,3.46111111111111
"79",1997,7.65863611697501,"North",2,7.73666666666667
"80",1997,7.65863611697501,"North",3,7.19809523809524
"81",1998,14.7888645775116,"North",2,5.74109589041096
"82",1998,14.7888645775116,"North",3,5.38144329896907
"83",1999,33.155216023799,"North",2,8.75443037974684
"84",1999,33.155216023799,"North",3,6.90151515151515
"85",2000,52.7089034158381,"North",2,8.64757281553398
"86",2000,52.7089034158381,"North",3,6.18695652173913
"87",2001,52.228973729084,"North",2,9.81582278481013
"88",2001,52.228973729084,"North",3,5.3622641509434
"89",2002,36.9512591197173,"North",2,9.08679245283019
"90",2002,36.9512591197173,"North",3,8.62168674698795
"91",2003,54.8513255505841,"North",2,6.7037037037037
"92",2003,54.8513255505841,"North",3,4.59577464788732
"93",2004,74.3987834648168,"North",2,6.14210526315789
"94",2004,74.3987834648168,"North",3,5.06024096385542
"95",2005,88.7471204044742,"North",2,6.71212121212121
"96",2005,88.7471204044742,"North",3,5.31392405063291
"97",2006,65.6917644539848,"North",2,9.63866666666667
"98",2006,65.6917644539848,"North",3,7.43039215686275
"99",2007,34.9969712753275,"North",2,7.64366197183099
"100",2007,34.9969712753275,"North",3,6.64181818181818
"101",2008,61.8248450779209,"North",3,7.14545454545455
"102",2009,24.8890332701058,"North",2,4.35
"103",2009,24.8890332701058,"North",3,6.52542372881356
"104",2010,51.5956697855371,"North",3,8.48939393939394
"105",2011,39.7422021066911,"North",3,7.55546218487395
"106",2012,30.445253339152,"North",3,9.69885714285714
"107",2013,70.6542678839791,"North",3,7.52125
"108",2014,64.2118553000722,"North",NA,NA
"109",2015,45.3024712684977,"North",3,7.03636363636364
"110",2016,60.2869777756287,"North",NA,NA
