"Year","est","se","CV","lo","hi"
1989,16023.9451806999,1.20158795119442,0.185203262029319,11180.247452066,22966.1123561829
1990,34175.9301265566,1.29371121934169,0.261843785024717,20631.1376099004,56613.1748088765
1991,10113.8573277542,1.29676699384408,0.264324228795483,6077.31111281442,16831.474997303
1992,15170.7922107114,1.30928770970486,0.2744506416265,8945.89293869863,25727.21782808
1993,11873.0170213869,1.30455925571422,0.27063329883032,7051.08874080088,19992.4491624155
1994,23529.5925737182,1.30572508737519,0.271575260753595,13949.195233219,39689.8686575635
1995,47813.8551734685,1.27747743141422,0.248605125716484,29587.2941068534,77268.4632225246
1996,35564.9377218383,1.28408740625885,0.254008182286424,21786.1542312924,58058.1952064515
1997,6281.41885979573,1.31507681692302,0.279113073561902,3672.12824049674,10744.7834901485
1998,16102.7379235259,1.29839421512813,0.265643622546525,9652.21369197797,26864.1139647854
1999,33057.5463620878,1.28708334642324,0.256451343901603,20157.9093594003,54212.039155339
2000,70017.2730324983,1.27947135813713,0.250236833512088,43194.5678197419,113496.181820038
2001,7478.10185382635,1.33891496728441,0.298186576287742,4220.46271728588,13250.2076388827
2002,22168.4436509053,1.35077395128294,0.307603327013809,12296.9628324559,39964.3310790762
2003,21670.4867044829,1.54298030840777,0.454934672537065,9261.66562164738,50704.7018531469
2004,12472.3557449601,1.32303934408954,0.285506193040954,7205.60182793971,21588.7113309059
2005,7065.4561941681,1.32690573826259,0.288602427923107,4058.61719225878,12299.921097985
2006,14595.1769699146,1.3139958037609,0.27824337327454,8546.12890155584,24925.8106491168
2007,17916.7611656679,1.29549583803974,0.263292837755562,10786.7087012882,29759.8034356159
2008,24293.4530704826,1.30070686629405,0.267517047876549,14511.1447294478,40670.2484945996
2009,15160.6142240726,1.31506542867801,0.27910391365689,8863.07151231459,25932.7957956564
2010,17167.7712416016,1.33555812589654,0.295512548560223,9736.86990064068,30269.7245019746
2011,15186.8607067517,1.32914891008627,0.290396384494579,8694.97077865424,26525.7634554095
2012,19941.190954403,1.32619711597018,0.288035349899675,11466.8378938114,34678.3568724359
2013,38199.3442313923,1.35252234669662,0.308987772400284,21135.7425342113,69038.9702347334
2014,14887.9724101662,1.32992838952788,0.291019358119179,8514.0585336948,26033.6150625079
2015,16638.7327703679,1.31656441250944,0.280309188737037,9705.50213770983,28524.7918423561
2016,24359.475738869,1.30746297534711,0.272978491187612,14403.5819429009,41196.9786838343
2017,20433.8439371608,1.32593675656291,0.287826952157108,11754.6520308966,35521.4239392838
2018,12857.2195055049,1.33873552037202,0.298043726589449,7258.21518716372,22775.3089637084
2019,26410.4223530401,1.31846218208755,0.281833953119783,15361.9739127359,45404.9989166878
2020,24623.6932147263,1.32402682336964,0.28629747177351,14204.9557801921,42684.1362208562
2021,13917.64653997,1.33535944021211,0.295354158090653,7895.83185883781,24532.0428137954
2022,12860.9863136232,1.36034542876757,0.315170422969931,7036.01334360007,23508.3364515867
2023,26450.5133287716,1.37465808552926,0.326432479162013,14176.7763446751,49350.4050812164
